time,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
0,90,0,0,10,0,0,0,0,0,0,0
1.0,90,0,0,10,0,0,0,0,0,0,0
2.0,80,10,0,10,0,0,0,0,0,0,0
3.0,78,9,1,11,1,0,0,0,0,0,0
4.0,75,9,4,10,1,0,0,0,1,0,0
5.0,72,12,5,8,1,0,0,0,2,0,0
6.0,71,14,5,6,1,0,0,0,3,0,0
7.0,74,13,6,5,1,0,0,0,1,0,0
8.0,75,10,7,5,2,0,0,0,1,0,0
9.0,75,10,7,4,3,0,0,0,1,0,0
10.0,75,10,7,3,3,0,0,0,2,0,0
11.0,77,9,8,3,3,0,0,0,0,0,0
12.0,77,7,9,1,3,1,0,0,2,0,0
13.0,79,4,10,2,3,1,0,0,1,0,0
14.0,80,2,11,3,3,1,0,0,0,0,0
15.0,80,1,11,3,3,1,0,0,1,0,0
16.0,81,0,11,3,2,1,0,0,2,0,0
17.0,83,0,10,2,2,1,0,0,2,0,0
18.0,85,0,10,1,2,1,0,0,1,0,0
19.0,86,0,9,1,1,1,0,0,2,0,0
20.0,88,0,7,1,1,1,0,0,2,0,0
21.0,90,0,4,0,1,1,0,0,4,0,0
22.0,94,0,4,0,0,1,0,0,1,0,0
23.0,95,0,2,0,0,1,0,0,2,0,0
24.0,97,0,2,0,0,1,0,0,0,0,0
25.0,97,0,2,0,0,1,0,0,0,0,0
26.0,97,0,2,0,0,1,0,0,0,0,0
27.0,97,0,2,0,0,1,0,0,0,0,0
28.0,97,0,2,0,0,1,0,0,0,0,0
29.0,97,0,1,0,0,0,0,0,2,0,0
30.0,99,0,1,0,0,0,0,0,0,0,0
31.0,99,0,0,0,0,0,0,0,1,0,0
32.0,100,0,0,0,0,0,0,0,0,0,0
33.0,100,0,0,0,0,0,0,0,0,0,0
34.0,100,0,0,0,0,0,0,0,0,0,0
35.0,100,0,0,0,0,0,0,0,0,0,0
36.0,100,0,0,0,0,0,0,0,0,0,0
37.0,100,0,0,0,0,0,0,0,0,0,0
38.0,100,0,0,0,0,0,0,0,0,0,0
39.0,100,0,0,0,0,0,0,0,0,0,0
40.0,100,0,0,0,0,0,0,0,0,0,0
41.0,100,0,0,0,0,0,0,0,0,0,0
42.0,100,0,0,0,0,0,0,0,0,0,0
43.0,100,0,0,0,0,0,0,0,0,0,0
44.0,100,0,0,0,0,0,0,0,0,0,0
45.0,100,0,0,0,0,0,0,0,0,0,0
46.0,100,0,0,0,0,0,0,0,0,0,0
47.0,100,0,0,0,0,0,0,0,0,0,0
48.0,100,0,0,0,0,0,0,0,0,0,0
49.0,100,0,0,0,0,0,0,0,0,0,0
50.0,100,0,0,0,0,0,0,0,0,0,0
51.0,100,0,0,0,0,0,0,0,0,0,0
52.0,100,0,0,0,0,0,0,0,0,0,0
53.0,100,0,0,0,0,0,0,0,0,0,0
54.0,100,0,0,0,0,0,0,0,0,0,0
55.0,100,0,0,0,0,0,0,0,0,0,0
56.0,100,0,0,0,0,0,0,0,0,0,0
57.0,100,0,0,0,0,0,0,0,0,0,0
58.0,100,0,0,0,0,0,0,0,0,0,0
59.0,100,0,0,0,0,0,0,0,0,0,0
60.0,100,0,0,0,0,0,0,0,0,0,0
